"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"194"	4	5	20	2.37966613787251	0.971	1000
"195"	4	5	25	2.12337639398327	0.984	1000
"196"	4	5	30	1.90119274280718	0.995	1000
"197"	4	5	35	1.7600980109395	0.999	1000
"198"	4	5	40	1.59550472473191	0.998	1000
"199"	4	5	45	1.51486933772003	1	1000
"200"	4	5	50	1.41864631261884	1	1000
"201"	4	5	55	1.34635667204308	1	1000
"202"	4	5	60	1.29808651675985	1	1000
"203"	4	5	65	1.25432657527368	1	1000
"204"	4	5	70	1.19809128228171	1	1000
"205"	4	5	75	1.15777782475584	1	1000
"206"	4	5	80	1.1152572867257	1	1000
"207"	4	5	85	1.07643027658962	1	1000
"208"	4	5	90	1.02120291681527	1	1000
"209"	4	5	95	1.03672325404804	1	1000
"210"	4	5	100	0.990030633217837	1	1000
"211"	4	10	0	5	0.188	1000
"212"	4	10	5	7.91424361526856	0.49	1000
"213"	4	10	10	8.04031290006887	0.492	1000
"214"	4	10	15	5.88409155577452	0.612	1000
"215"	4	10	20	4.79239859230685	0.703	1000
"216"	4	10	25	4.20925091100247	0.761	1000
"217"	4	10	30	3.8073535901029	0.803	1000
"218"	4	10	35	3.49802846451672	0.861	1000
"219"	4	10	40	3.23130472550043	0.887	1000
"220"	4	10	45	2.97243012866823	0.912	1000
"221"	4	10	50	2.86557857035187	0.924	1000
"222"	4	10	55	2.70326755524364	0.934	1000
"223"	4	10	60	2.53153511900983	0.952	1000
"224"	4	10	65	2.51533526783653	0.959	1000
"225"	4	10	70	2.41350558536289	0.973	1000
"226"	4	10	75	2.31792072915984	0.975	1000
"227"	4	10	80	2.22765898762148	0.971	1000
"228"	4	10	85	2.15877196948325	0.985	1000
"229"	4	10	90	2.13309169857884	0.991	1000
"230"	4	10	95	2.05299901916431	0.989	1000
"231"	4	10	100	1.93406772400297	0.993	1000
"232"	4	60	0	5	0.192	1000
"233"	4	60	5	47.5221633330573	0.259	1000
"234"	4	60	10	48.3434272748284	0.244	1000
"235"	4	60	15	35.2488033276912	0.257	1000
"236"	4	60	20	29.3889640155892	0.255	1000
"237"	4	60	25	24.6904106021986	0.294	1000
"238"	4	60	30	22.3327581179705	0.32	1000
"239"	4	60	35	20.6744927000826	0.319	1000
"240"	4	60	40	19.1750692528353	0.297	1000
"241"	4	60	45	17.9833466856946	0.329	1000
