"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"105"	14	"keep"	"easy"	"dynamic"	-1.65116279069767	5	1	-4.06976744186047	-1	0.651162790697674	0
"106"	14	"keep"	"easy"	"stable"	8.78571428571429	6	1	-4	-1	0.785714285714286	0
"107"	14	"keep"	"hard"	"dynamic"	-61.2592592592593	-64	1	-16.6666666666667	-24	0.37037037037037	0
"108"	14	"keep"	"hard"	"stable"	-56.9210526315789	-68.5	1	-18.7368421052632	-24	0.289473684210526	0
"109"	14	"peek"	"easy"	"dynamic"	3.51351351351351	1	0.702702702702703	-6.08108108108108	-1	0.783783783783784	0.378378378378378
"110"	14	"peek"	"easy"	"stable"	-1.26315789473684	1.5	0.605263157894737	-3.31578947368421	-1	0.657894736842105	0.368421052631579
"111"	14	"peek"	"hard"	"dynamic"	-3.76315789473684	3.5	0.789473684210526	-10.6315789473684	-24	0.368421052631579	0.289473684210526
"112"	14	"peek"	"hard"	"stable"	-18.7073170731707	-5	0.707317073170732	-14.3414634146341	-24	0.439024390243902	0.24390243902439
"113"	15	"keep"	"easy"	"dynamic"	-7.65116279069767	-10	1	-6	-13	0.581395348837209	0
"114"	15	"keep"	"easy"	"stable"	3.80952380952381	0.5	1	-4.97619047619048	-13	0.642857142857143	0
"115"	15	"keep"	"hard"	"dynamic"	-83.3448275862069	-86	1	-25.6896551724138	-39	0.586206896551724	0
"116"	15	"keep"	"hard"	"stable"	-71.6578947368421	-74.5	1	-14.7368421052632	11	0.605263157894737	0
"117"	15	"peek"	"easy"	"dynamic"	-1.7027027027027	-3	0.621621621621622	-6.35135135135135	-13	0.648648648648649	0.351351351351351
"118"	15	"peek"	"easy"	"stable"	-4.13157894736842	-1	0.447368421052632	-4.86842105263158	-13	0.789473684210526	0.315789473684211
"119"	15	"peek"	"hard"	"dynamic"	-13.8947368421053	-15.5	0.578947368421053	-20.3157894736842	-39	0.684210526315789	0.315789473684211
"120"	15	"peek"	"hard"	"stable"	-36.9024390243902	-35	0.682926829268293	-29.7073170731707	-39	0.731707317073171	0.317073170731707
"121"	16	"keep"	"easy"	"dynamic"	-6.18604651162791	-3	1	1.46511627906977	5	0.581395348837209	0
"122"	16	"keep"	"easy"	"stable"	3.71428571428571	2.5	1	-0.0952380952380952	5	0.69047619047619	0
"123"	16	"keep"	"hard"	"dynamic"	-107.925925925926	-97	1	-21.3703703703704	-32	0.666666666666667	0
"124"	16	"keep"	"hard"	"stable"	-88.3684210526316	-103.5	1	-18.0789473684211	-10	0.631578947368421	0
"125"	16	"peek"	"easy"	"dynamic"	-1.24324324324324	-7	0.783783783783784	-0.837837837837838	5	0.72972972972973	0.378378378378378
"126"	16	"peek"	"easy"	"stable"	-6	-4	0.710526315789474	-2.84210526315789	0.5	0.684210526315789	0.578947368421053
"127"	16	"peek"	"hard"	"dynamic"	-28.3947368421053	-21	0.868421052631579	-14.2368421052632	-10	0.552631578947368	0.342105263157895
"128"	16	"peek"	"hard"	"stable"	-46.8780487804878	-35	0.609756097560976	-13.9512195121951	-10	0.634146341463415	0.365853658536585
"129"	17	"keep"	"easy"	"dynamic"	-13.9302325581395	-11	1	-7.74418604651163	-9	0.534883720930233	0
"130"	17	"keep"	"easy"	"stable"	-4.09523809523809	-7.5	1	-7.80952380952381	-9	0.523809523809524	0
"131"	17	"keep"	"hard"	"dynamic"	-136.275862068966	-114	1	-33.0344827586207	-38	0.586206896551724	0
"132"	17	"keep"	"hard"	"stable"	-121.631578947368	-124	1	-34.1052631578947	-38	0.552631578947368	0
"133"	17	"peek"	"easy"	"dynamic"	-6.21621621621622	-11	0.675675675675676	-8.2972972972973	-9	0.513513513513513	0.378378378378378
"134"	17	"peek"	"easy"	"stable"	-11.0263157894737	-9.5	0.605263157894737	-7.94736842105263	-9	0.552631578947368	0.263157894736842
"135"	17	"peek"	"hard"	"dynamic"	-53.6052631578947	-37.5	0.578947368421053	-39.1842105263158	-38	0.736842105263158	0.447368421052632
"136"	17	"peek"	"hard"	"stable"	-58.5121951219512	-35	0.658536585365854	-18.780487804878	-38	0.682926829268293	0.292682926829268
"137"	18	"keep"	"easy"	"dynamic"	-13	-12	1	0.930232558139535	0	0.720930232558139	0
"138"	18	"keep"	"easy"	"stable"	-3.57142857142857	-3.5	1	0.523809523809524	0	0.571428571428571	0
"139"	18	"keep"	"hard"	"dynamic"	-140.62962962963	-107	1	4.2962962962963	-4	0.740740740740741	0
"140"	18	"keep"	"hard"	"stable"	-117.263157894737	-112	1	4.36842105263158	4	0.578947368421053	0
"141"	18	"peek"	"easy"	"dynamic"	-5.16216216216216	-11	0.702702702702703	0.972972972972973	0	0.648648648648649	0.351351351351351
"142"	18	"peek"	"easy"	"stable"	-11.5526315789474	-9.5	0.526315789473684	-0.789473684210526	0	0.736842105263158	0.289473684210526
"143"	18	"peek"	"hard"	"dynamic"	-53.6052631578947	-36.5	0.657894736842105	2.15789473684211	-4	0.552631578947368	0.289473684210526
"144"	18	"peek"	"hard"	"stable"	-55.9268292682927	-36	0.585365853658537	5.5609756097561	12	0.585365853658537	0.365853658536585
"145"	19	"keep"	"easy"	"dynamic"	-21.8837209302326	-15	1	-8.88372093023256	5	0.441860465116279	0
"146"	19	"keep"	"easy"	"stable"	-10.8809523809524	-4	1	-7.30952380952381	5	0.5	0
"147"	19	"keep"	"hard"	"dynamic"	-120.689655172414	-106	1	11.5862068965517	-4	0.551724137931034	0
"148"	19	"keep"	"hard"	"stable"	-111.052631578947	-119	1	6.21052631578947	-11.5	0.552631578947368	0
"149"	19	"peek"	"easy"	"dynamic"	-8	-11	0.621621621621622	-4.27027027027027	5	0.567567567567568	0.351351351351351
"150"	19	"peek"	"easy"	"stable"	-14.9210526315789	-13.5	0.578947368421053	-3.26315789473684	5	0.605263157894737	0.368421052631579
"151"	19	"peek"	"hard"	"dynamic"	-48.0789473684211	-44.5	0.736842105263158	5.68421052631579	-9	0.447368421052632	0.236842105263158
"152"	19	"peek"	"hard"	"stable"	-47.5365853658537	-20	0.585365853658537	13.7073170731707	-4	0.585365853658537	0.439024390243902
"153"	20	"keep"	"easy"	"dynamic"	-27.8139534883721	-18	1	-5.93023255813953	-2	0.441860465116279	0
"154"	20	"keep"	"easy"	"stable"	-16.7142857142857	-6	1	-5.83333333333333	-2	0.5	0
"155"	20	"keep"	"hard"	"dynamic"	-110.62962962963	-97	1	15.1851851851852	24	0.592592592592593	0
"156"	20	"keep"	"hard"	"stable"	-93.1578947368421	-98	1	17.8947368421053	24	0.552631578947368	0
"157"	20	"peek"	"easy"	"dynamic"	-10.972972972973	-16	0.72972972972973	-5.02702702702703	-2	0.486486486486487	0.378378378378378
"158"	20	"peek"	"easy"	"stable"	-18.0789473684211	-15	0.657894736842105	-5.55263157894737	-2	0.473684210526316	0.342105263157895
"159"	20	"peek"	"hard"	"dynamic"	-37.0526315789474	-20	0.710526315789474	16.7631578947368	24	0.5	0.289473684210526
"160"	20	"peek"	"hard"	"stable"	-35.1951219512195	-16	0.609756097560976	19.9756097560976	24	0.536585365853659	0.317073170731707
"161"	21	"keep"	"easy"	"dynamic"	-36.1162790697674	-31	1	-8.30232558139535	-13	0.651162790697674	0
"162"	21	"keep"	"easy"	"stable"	-26.1428571428571	-15	1	-9.42857142857143	-13	0.523809523809524	0
"163"	21	"keep"	"hard"	"dynamic"	-100.586206896552	-71	1	5.96551724137931	16	0.448275862068966	0
"164"	21	"keep"	"hard"	"stable"	-90.3157894736842	-101	1	2.84210526315789	16	0.394736842105263	0
"165"	21	"peek"	"easy"	"dynamic"	-16.8918918918919	-21	0.702702702702703	-9.08108108108108	-13	0.648648648648649	0.243243243243243
"166"	21	"peek"	"easy"	"stable"	-23.6315789473684	-16.5	0.552631578947368	-8.3421052631579	-13	0.736842105263158	0.263157894736842
"167"	21	"peek"	"hard"	"dynamic"	-36.0263157894737	-25.5	0.710526315789474	3.94736842105263	16	0.5	0.263157894736842
"168"	21	"peek"	"hard"	"stable"	-30.1951219512195	-13	0.658536585365854	7.17073170731707	16	0.414634146341463	0.292682926829268
"169"	22	"keep"	"easy"	"dynamic"	-35.6744186046512	-23	1	0.441860465116279	7	0.674418604651163	0
"170"	22	"keep"	"easy"	"stable"	-22.4761904761905	-17	1	3.66666666666667	7	0.571428571428571	0
"171"	22	"keep"	"hard"	"dynamic"	-93.1481481481482	-56	1	10.4814814814815	13	0.444444444444444	0
"172"	22	"keep"	"hard"	"stable"	-78.2894736842105	-88	1	12.0263157894737	13	0.473684210526316	0
"173"	22	"peek"	"easy"	"dynamic"	-14.9189189189189	-19	0.783783783783784	1.40540540540541	7	0.540540540540541	0.297297297297297
"174"	22	"peek"	"easy"	"stable"	-24.2631578947368	-18	0.631578947368421	-0.0789473684210526	7	0.763157894736842	0.236842105263158
"175"	22	"peek"	"hard"	"dynamic"	-25.6315789473684	-15	0.842105263157895	12.1315789473684	13	0.394736842105263	0.236842105263158
"176"	22	"peek"	"hard"	"stable"	-20.9512195121951	-1	0.731707317073171	11.4878048780488	13	0.536585365853659	0.414634146341463
"177"	23	"keep"	"easy"	"dynamic"	-36.3720930232558	-28	1	-0.697674418604651	-11	0.27906976744186	0
"178"	23	"keep"	"easy"	"stable"	-22.9047619047619	-14.5	1	-0.428571428571429	-11	0.428571428571429	0
"179"	23	"keep"	"hard"	"dynamic"	-70.9310344827586	-62	1	19.8965517241379	63	0.551724137931034	0
"180"	23	"keep"	"hard"	"stable"	-64.0789473684211	-48.5	1	14.2105263157895	-25	0.289473684210526	0
"181"	23	"peek"	"easy"	"dynamic"	-15.5945945945946	-20	0.72972972972973	-0.243243243243243	-11	0.486486486486487	0.324324324324324
