"workerid"	"condition.mode"	"condition.difficulty"	"condition.stability"	"n.peeks"	"p.peeks"	"total.points"	"duration"	"sex"	"age"	"barratt.all"	"max.nen.all"	"reg.sch.all"	"total.points.fh"	"total.points.sh"
"172"	"A3JSU8FCFPXZPE"	"keep"	"easy"	"stable"	0	0	477	1021	"female"	29	49	28	24	225	252
"173"	"A3K3IZ0S0YOLO1"	"keep"	"hard"	"dynamic"	0	0	373	874	"male"	36	46	13	12	241	132
"174"	"A3KNO82DZ519HG"	"peek"	"easy"	"dynamic"	3	0.015	310	810	"female"	57	49	23	22	212	98
"175"	"A3KU8E8FA2184N"	"peek"	"hard"	"dynamic"	51	0.255	218	991	"female"	29	72	23	16	177	41
"176"	"A3KZ4L1CTETPGP"	"peek"	"hard"	"dynamic"	106	0.53	-64	841	"female"	38	74	23	26	-185	121
"177"	"A3L2VS3998R77L"	"peek"	"hard"	"dynamic"	104	0.52	362	835	"female"	52	54	11	34	137	225
"178"	"A3L48QI72KNGH1"	"keep"	"easy"	"stable"	0	0	934	1208	"female"	29	38	36	29	431	503
"179"	"A3LJ2FHESYV9QQ"	"peek"	"hard"	"stable"	144	0.72	132	1016	"female"	37	53	20	24	79	53
"180"	"A3LN9BVLOWLYER"	"peek"	"easy"	"stable"	140	0.7	159	685	"female"	42	63	24	21	76	83
"181"	"A3LV60O7E3XAN4"	"peek"	"hard"	"dynamic"	13	0.065	67	764	"female"	32	NA	26	26	283	-216
"182"	"A3M4C5VPP7M4T1"	"peek"	"hard"	"stable"	3	0.015	929	2838	"female"	50	52	30	19	406	523
"183"	"A3NR6IMZRCIDGW"	"peek"	"hard"	"dynamic"	87	0.435	-347	1722	"male"	23	58	24	21	-49	-298
"184"	"A3ON3DL1CKGN4E"	"peek"	"easy"	"stable"	67	0.335	57	647	"female"	29	82	27	23	48	9
"185"	"A3PDTUA1YLJTMC"	"peek"	"hard"	"dynamic"	17	0.085	-278	1584	"male"	39	65	30	29	-157	-121
"186"	"A3PKJ0CX86ZAWN"	"peek"	"easy"	"stable"	109	0.545	-240	-1	"female"	42	54	32	26	-131	-109
"187"	"A3PMGUAC5XHORQ"	"peek"	"hard"	"dynamic"	2	0.01	453	1544	"male"	65	62	29	20	-17	470
"188"	"A3QJJR5Y3XE92N"	"peek"	"hard"	"dynamic"	9	0.045	723	839	"male"	34	NA	34	28	47	676
"189"	"A3RD1GEZTSDS4X"	"keep"	"easy"	"dynamic"	0	0	634	1908	"male"	29	NA	29	15	328	306
"190"	"A3RGDXZ76VHKZG"	"keep"	"hard"	"stable"	0	0	240	698	"female"	28	57	27	32	245	-5
"191"	"A3RHGIM99R25Q9"	"peek"	"hard"	"stable"	2	0.01	951	942	"male"	27	39	26	23	453	498
"192"	"A3RNYHTTJZ6JUP"	"peek"	"hard"	"dynamic"	143	0.715	336	1005	"female"	64	52	26	19	39	297
"193"	"A3T021IZ1409ZH"	"peek"	"hard"	"dynamic"	82	0.41	697	908	"male"	33	64	27	27	264	433
"194"	"A3UO7J3GT8DYWC"	"keep"	"easy"	"dynamic"	0	0	-93	714	"male"	27	68	31	26	5	-98
"195"	"A3W4QQ3FSGV3ID"	"keep"	"easy"	"dynamic"	0	0	498	2255	"male"	29	NA	31	21	327	171
"196"	"A40W0EWYGHNV0"	"keep"	"hard"	"dynamic"	0	0	118	678	"male"	40	NA	11	10	302	-184
"197"	"A4Y1YN4D4YDS1"	"peek"	"hard"	"dynamic"	91	0.455	-420	1229	"female"	40	47	22	17	-130	-290
"198"	"A539X7293Y853"	"keep"	"easy"	"dynamic"	0	0	195	964	"female"	36	74	25	31	35	160
"199"	"A6B8DOH3KV5SL"	"peek"	"hard"	"stable"	12	0.06	-9	870	"male"	28	66	25	22	237	-246
"200"	"A6K0MH7ES5NFO"	"peek"	"easy"	"stable"	15	0.075	189	1566	"male"	35	58	24	28	154	35
"201"	"A6T7JD3FQ5Y4C"	"peek"	"easy"	"dynamic"	118	0.59	-14	435	"male"	28	43	24	24	46	-60
"202"	"A7YR8O19WNQCS"	"peek"	"hard"	"dynamic"	12	0.06	111	2794	"female"	32	62	32	25	-50	161
"203"	"A8Q4T87YRWY89"	"keep"	"hard"	"stable"	0	0	-21	776	"female"	43	51	20	16	-266	245
"204"	"A8ZUYKK47MVUQ"	"peek"	"easy"	"stable"	109	0.545	35	873	"female"	29	58	31	34	-44	79
"205"	"A99PQSI7FTY50"	"keep"	"easy"	"dynamic"	0	0	467	1221	"male"	25	38	29	19	171	296
"206"	"A9KSSJXDB6GPE"	"keep"	"easy"	"dynamic"	0	0	241	2730	"male"	32	67	23	24	337	-96
"207"	"A9L9G563HS81X"	"peek"	"hard"	"stable"	32	0.16	547	152	"male"	24	NA	26	22	329	218
"208"	"A9MJVJAMLCDMV"	"keep"	"hard"	"dynamic"	0	0	59	1145	"male"	62	47	25	20	-125	184
"209"	"AAGGGAJDJLZE4"	"peek"	"easy"	"dynamic"	106	0.53	279	841	"female"	42	51	31	22	202	77
