"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"250"	90	"uniform"	"mean"	5	-5	1	1	5	12	0.252312147288503	1
"251"	95	"uniform"	"mean"	5	-5	1	1	5	12	0.376994142555772	1
"252"	100	"uniform"	"mean"	5	-5	1	1	5	12	1.06322620576487	1
"253"	0	"uniform"	"mean"	5	-5	1	1	5	13	5	0
"254"	5	"uniform"	"mean"	5	-5	1	1	5	13	3.87517037149336	1
"255"	10	"uniform"	"mean"	5	-5	1	1	5	13	5.65329681687191	0
"256"	15	"uniform"	"mean"	5	-5	1	1	5	13	1.78062289700146	1
"257"	20	"uniform"	"mean"	5	-5	1	1	5	13	1.10573544924468	1
"258"	25	"uniform"	"mean"	5	-5	1	1	5	13	1.28058616492223	1
"259"	30	"uniform"	"mean"	5	-5	1	1	5	13	0.965438935200699	1
"260"	35	"uniform"	"mean"	5	-5	1	1	5	13	1.08611214271524	1
"261"	40	"uniform"	"mean"	5	-5	1	1	5	13	2.00674240129441	1
"262"	45	"uniform"	"mean"	5	-5	1	1	5	13	1.08723121262772	1
"263"	50	"uniform"	"mean"	5	-5	1	1	5	13	0.278760267127301	1
"264"	55	"uniform"	"mean"	5	-5	1	1	5	13	1.02975396763133	1
"265"	60	"uniform"	"mean"	5	-5	1	1	5	13	0.460414745782479	1
"266"	65	"uniform"	"mean"	5	-5	1	1	5	13	0.482824863225626	1
"267"	70	"uniform"	"mean"	5	-5	1	1	5	13	1.33364640515732	1
"268"	75	"uniform"	"mean"	5	-5	1	1	5	13	0.775699779972005	1
"269"	80	"uniform"	"mean"	5	-5	1	1	5	13	0.38952933105478	1
"270"	85	"uniform"	"mean"	5	-5	1	1	5	13	1.0339917601494	1
"271"	90	"uniform"	"mean"	5	-5	1	1	5	13	0.795800698490669	1
"272"	95	"uniform"	"mean"	5	-5	1	1	5	13	0.24925951427335	1
"273"	100	"uniform"	"mean"	5	-5	1	1	5	13	0.764093747032662	1
"274"	0	"uniform"	"mean"	5	-5	1	1	5	14	5	0
"275"	5	"uniform"	"mean"	5	-5	1	1	5	14	3.62531819518516	1
"276"	10	"uniform"	"mean"	5	-5	1	1	5	14	2.24625877855851	1
"277"	15	"uniform"	"mean"	5	-5	1	1	5	14	0.957106433737952	1
"278"	20	"uniform"	"mean"	5	-5	1	1	5	14	2.07314615270372	1
"279"	25	"uniform"	"mean"	5	-5	1	1	5	14	2.273958180452	1
"280"	30	"uniform"	"mean"	5	-5	1	1	5	14	0.248903370494736	1
"281"	35	"uniform"	"mean"	5	-5	1	1	5	14	1.88907551928798	1
"282"	40	"uniform"	"mean"	5	-5	1	1	5	14	1.34456925406504	1
"283"	45	"uniform"	"mean"	5	-5	1	1	5	14	1.37162383806721	1
"284"	50	"uniform"	"mean"	5	-5	1	1	5	14	2.12822992366155	1
"285"	55	"uniform"	"mean"	5	-5	1	1	5	14	0.317924738475785	1
"286"	60	"uniform"	"mean"	5	-5	1	1	5	14	0.81994503071421	1
"287"	65	"uniform"	"mean"	5	-5	1	1	5	14	0.305082147439992	1
"288"	70	"uniform"	"mean"	5	-5	1	1	5	14	0.543440834948124	1
"289"	75	"uniform"	"mean"	5	-5	1	1	5	14	0.184523327200691	1
"290"	80	"uniform"	"mean"	5	-5	1	1	5	14	0.487018197163479	1
"291"	85	"uniform"	"mean"	5	-5	1	1	5	14	0.557618155963866	1
"292"	90	"uniform"	"mean"	5	-5	1	1	5	14	0.385137275539222	1
"293"	95	"uniform"	"mean"	5	-5	1	1	5	14	1.18775887257056	1
"294"	100	"uniform"	"mean"	5	-5	1	1	5	14	0.352951854715946	1
"295"	0	"uniform"	"mean"	5	-5	1	1	5	15	5	0
"296"	5	"uniform"	"mean"	5	-5	1	1	5	15	4.40805848832994	1
"297"	10	"uniform"	"mean"	5	-5	1	1	5	15	2.39953597987151	1
"298"	15	"uniform"	"mean"	5	-5	1	1	5	15	2.6251097893935	1
"299"	20	"uniform"	"mean"	5	-5	1	1	5	15	0.898335543107179	1
"300"	25	"uniform"	"mean"	5	-5	1	1	5	15	0.800306016980308	1
"301"	30	"uniform"	"mean"	5	-5	1	1	5	15	0.647774452155765	1
"302"	35	"uniform"	"mean"	5	-5	1	1	5	15	1.15057477361058	1
"303"	40	"uniform"	"mean"	5	-5	1	1	5	15	1.09154686908031	1
"304"	45	"uniform"	"mean"	5	-5	1	1	5	15	0.205139649744099	1
"305"	50	"uniform"	"mean"	5	-5	1	1	5	15	1.22229536857994	1
"306"	55	"uniform"	"mean"	5	-5	1	1	5	15	0.518699866375792	1
